Model,Price,Kilometer,Seller Type,Engine,Max Power,Max Torque,Seating Capacity,Age,Make_BMW,Make_Chevrolet,Make_Datsun,Make_Ferrari,Make_Fiat,Make_Ford,Make_Honda,Make_Hyundai,Make_Isuzu,Make_Jaguar,Make_Jeep,Make_Kia,Make_Lamborghini,Make_Land Rover,Make_Lexus,Make_MG,Make_MINI,Make_Mahindra,Make_Maruti Suzuki,Make_Maserati,Make_Mercedes-Benz,Make_Mitsubishi,Make_Nissan,Make_Porsche,Make_Renault,Make_Rolls-Royce,Make_Skoda,Make_Ssangyong,Make_Tata,Make_Toyota,Make_Volkswagen,Make_Volvo,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + CNG,Fuel Type_Petrol + LPG,Transmission_Manual,Owner_First,Owner_Fourth,Owner_Second,Owner_Third,Owner_UnRegistered Car,Mileage Intensity,Price per CC,Price_log,Kilometer_log,Engine_log,Max Power_log
Amaze 1.2 VX i-VTEC,0.032371144080678274,0.5904958079187205,Corporate,0.16736053288925895,0.13888888888888887,109 Nm @ 4500 rpm,0.49999999999999994,0.14705882352941174,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.5131483686976642,0.066461037532577,0.2727687702392769,0.8738065860363959,0.2938598665195462,0.31149218470574214
Swift DZire VDI,0.02721052690839623,0.5057809006486204,Individual,0.18817651956702752,0.09374999999999997,190 Nm @ 2000 rpm,0.49999999999999994,0.23529411764705882,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,0.3136621279804802,0.0551247159940088,0.24540347559272746,0.8370283397539002,0.32325773128385293,0.2293462022617434
i10 Magna 1.2 Kappa2,0.005629764187944048,0.4500015378370318,Individual,0.16694421315570357,0.11111111111111108,112.7619 Nm @ 4000 rpm,0.49999999999999994,0.32352941176470584,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.2141792364316505,0.022248808063162595,0.07557443287165011,0.8093985287831877,0.29325948296876625,0.2625124412933362
Glanza G,0.059956988601604116,0.24431513746929895,Individual,0.16694421315570357,0.12152777777777776,113 Nm @ 4200 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.2858514154867978,0.11220249076059911,0.38165074310669933,0.6672393988419856,0.29325948296876625,0.281431081057145
Innova 2.4 VX 7 STR [2016-2020],0.16795463160699742,0.4639463785399289,Individual,0.6648626144879267,0.3506944444444444,343 Nm @ 1400 rpm,0.8333333333333333,0.1176470588235294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0.4624097102324045,0.13960922432860076,0.5933914107777487,0.8166036003323756,0.7914193364429689,0.5821159294469407
Ciaz ZXi,0.04832214261318642,0.4940323723564295,Individual,0.24021648626144876,0.15277777777777776,130 Nm @ 4000 rpm,0.49999999999999994,0.14705882352941174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.4285009030806431,0.07949510555962924,0.3416275126711721,0.8314622533177904,0.39189146192383095,0.3343358718063074
CLA 200 Petrol Sport,0.16316923821784185,0.31055313080806035,Individual,0.4975020815986678,0.4652777777777778,300 Nm @ 1200 rpm,0.49999999999999994,0.20588235294117646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.20998379180403215,0.16544271972514216,0.5871018986039842,0.7225513131588199,0.6591452430064297,0.6849266276841948
X1 xDrive20d M Sport,0.23363521379967797,0.5057809006486204,Individual,0.49916736053288924,0.48958333333333337,400 Nm @ 1750 rpm,0.49999999999999994,0.14705882352941174,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.4388103342020511,0.23509258232134578,0.666184025779597,0.8370283397539002,0.660588693127119,0.7043213196750706
Octavia 1.8 TSI Style Plus AT [2017],0.11541016585285298,0.3733049139710975,Individual,0.4171523730224813,0.45138888888888884,250 Nm @ 1250 rpm,0.49999999999999994,0.14705882352941174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.3225615559784586,0.13183666057504764,0.5130531984095286,0.7654681844855684,0.5858162118897496,0.6735061945282759
Terrano XL (D),0.03893920229994634,0.5755051041631061,Individual,0.27685262281432144,0.12847222222222218,200 Nm @ 1900 rpm,0.49999999999999994,0.20588235294117646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0.3959818369617802,0.06125958600522097,0.3035753592495767,0.8676877156132243,0.43656112560125226,0.2936673339515954
Elite i20 Sportz 1.2,0.04044047275006474,0.12425703143770601,Individual,0.16694421315570357,0.12152777777777776,115 Nm @ 4000 rpm,0.49999999999999994,0.14705882352941174,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.10401997127485325,0.07988752357395526,0.31008877535437085,0.5166797005046497,0.29325948296876625,0.281431081057145
Kwid 1.0 RXT [2016-2019],0.028148727110317105,0.14001470143197978,Individual,0.08451290591174021,0.06944444444444442,91 Nm @ 4250 rpm,0.49999999999999994,0.1176470588235294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.13754944030820088,0.07369951387962105,0.25061894080812497,0.5425586814116485,0.16326851506666795,0.1789942328207239
Ciaz Alpha Hybrid 1.5 AT [2018-2020],0.08585390386614673,0.19670745130960812,Individual,0.2772689425478768,0.19444444444444445,138 Nm @ 4400 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.23014989564745114,0.1248095318335559,0.452066508433727,0.6180064862726318,0.43705313221451725,0.397341001900239
Harrier XZ [2019-2020],0.1440281338082352,0.12826617313978894,Individual,0.4829308909242298,0.3159722222222222,350 Nm @ 1750 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0.15007284252164171,0.14922139971835804,0.5601320954077851,0.5235277152226603,0.6463899900276937,0.5464141922169379
Polo GT TSI,0.0736559876295315,0.271626107985923,Individual,0.16694421315570357,0.19444444444444445,175 Nm @ 1500 rpm,0.49999999999999994,0.14705882352941174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.23333755951347707,0.1348849565984973,0.42147811613748054,0.6915755160459698,0.29325948296876625,0.397341001900239
Celerio ZXi AMT [2019-2020],0.03837622588115193,0.06283000814144411,Individual,0.08409658617818483,0.06944444444444442,90 Nm @ 3500 rpm,0.49999999999999994,0.1764705882352941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.042319062734786125,0.09409646371366218,0.30108598997856184,0.3770964146860152,0.1625485954029493,0.1789942328207239
Alto 800 LXi (O),0.02711669750526383,0.007831556409217781,Individual,0.0,0.0,69 Nm @ 3500 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.009163007696651293,0.09296766077406224,0.24487551635071725,0.09210454425476744,0.0,0.0
Baleno Alpha Automatic,0.06896451747291146,0.13181513509867626,Individual,0.16694421315570357,0.12152777777777776,113 Nm @ 4200 rpm,0.49999999999999994,0.1176470588235294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.12932636883806886,0.12711693564016946,0.40857721674291225,0.529433967892166,0.29325948296876625,0.281431081057145
Wagon R ZXi 1.2 AMT,0.05057404828836404,0.1974395554465102,Individual,0.16694421315570357,0.12152777777777776,113 Nm @ 4200 rpm,0.49999999999999994,0.058823529411764705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.2812210430994497,0.09666644884394342,0.3499189328936141,0.6188435972847239,0.29325948296876625,0.281431081057145
Creta 1.6 E Petrol,0.054421053816792464,0.40206614792082285,Individual,0.3309741881765196,0.26041666666666663,154 Nm @ 4850 rpm,0.49999999999999994,0.1764705882352941,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.30692575539867717,0.0745655259592497,0.3634459143593354,0.7828780651604115,0.4978573363321983,0.4835697809178643
S-Presso VXi AMT,0.029087114971044246,0.0,Individual,0.08409658617818483,0.06944444444444442,90 Nm @ 3500 rpm,0.49999999999999994,0.058823529411764705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.004013284388741767,0.07564889281937909,0.25572325770236937,0.0,0.1625485954029493,0.1789942328207239
Vento Comfortline Petrol AT,0.05676678889510249,0.40286797626123944,Individual,0.16694421315570357,0.19444444444444445,153 Nm @ 3800 rpm,0.49999999999999994,0.20588235294117646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.2747894264853107,0.1069202365089362,0.3713309517565011,0.7833461373345427,0.29325948296876625,0.397341001900239
Santro Sportz AMT [2018-2020],0.04025281394379994,0.07887354737012728,Individual,0.12073272273105745,0.07291666666666666,99 Nm @ 4500 rpm,0.49999999999999994,0.1176470588235294,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0762330170755583,0.08892975747290606,0.309284307780199,0.42187501876162914,0.22329533770979637,0.18649653164384272
Venue SX 1.0 (O) Petrol [2019-2020],0.07872286922808427,0.1743399268221611,Individual,0.08409658617818483,0.24652777777777776,172 Nm @ 1500 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.20397964438139604,0.17422227668883108,0.43466608570672705,0.5909458557134881,0.1625485954029493,0.4665798586046792
